                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.58622,                0.39901,                0.88291,                0.99887,                      1,                  0.995,                0.88246,                0.53375,                0.36346,                0.86304,                0.00101,                0.00101,                0.00101
                     53,                0.68978,                0.40668,                 0.9049,                0.99886,                      1,                  0.995,                0.88794,                0.56513,                0.39215,                 0.8867,              0.0009902,              0.0009902,              0.0009902
                     54,                0.67823,                0.39187,                0.88694,                0.99882,                      1,                  0.995,                0.89579,                0.52684,                0.39647,                0.83514,              0.0009704,              0.0009704,              0.0009704
                     55,                0.65867,                0.41651,                0.89403,                0.99878,                      1,                  0.995,                0.86977,                0.63308,                0.40105,                0.83637,              0.0009506,              0.0009506,              0.0009506
                     56,                0.66162,                0.38639,                0.88773,                0.99876,                      1,                  0.995,                0.86006,                0.62265,                0.37614,                 0.8423,              0.0009308,              0.0009308,              0.0009308
                     57,                0.63984,                0.38722,                0.88393,                0.99878,                      1,                  0.995,                0.86292,                 0.5565,                0.36862,                0.83069,               0.000911,               0.000911,               0.000911
                     58,                0.64437,                0.41191,                0.88476,                 0.9988,                      1,                  0.995,                0.86024,                0.59887,                0.37624,                0.83146,              0.0008912,              0.0008912,              0.0008912
                     59,                0.60683,                0.38004,                0.88094,                0.99881,                      1,                  0.995,                0.86866,                0.64397,                0.39196,                0.87193,              0.0008714,              0.0008714,              0.0008714
                     60,                0.58407,                0.36641,                0.85777,                0.99883,                      1,                  0.995,                0.89276,                0.59327,                0.37663,                0.89149,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.5522,                0.34987,                0.87781,                0.99884,                      1,                  0.995,                0.89294,                0.54082,                0.34835,                 0.8579,              0.0008318,              0.0008318,              0.0008318
                     62,                0.56383,                0.36242,                0.87119,                0.99884,                      1,                  0.995,                0.88676,                 0.5073,                0.35057,                 0.8367,               0.000812,               0.000812,               0.000812
                     63,                0.58016,                0.35865,                0.86758,                0.99884,                      1,                  0.995,                0.86391,                0.54384,                0.38818,                0.84595,              0.0007922,              0.0007922,              0.0007922
                     64,                0.54454,                0.32863,                 0.8744,                0.99884,                      1,                  0.995,                0.86403,                0.53053,                0.36511,                0.84237,              0.0007724,              0.0007724,              0.0007724
                     65,                0.59244,                0.36126,                0.88634,                0.99883,                      1,                  0.995,                0.87755,                0.49663,                 0.3311,                 0.8369,              0.0007526,              0.0007526,              0.0007526
                     66,                0.56397,                0.35742,                0.86249,                0.99882,                      1,                  0.995,                0.88908,                0.49793,                0.29933,                0.84573,              0.0007328,              0.0007328,              0.0007328
                     67,                0.59461,                0.37195,                0.87339,                0.99877,                      1,                  0.995,                0.88456,                0.49976,                0.30323,                0.84448,               0.000713,               0.000713,               0.000713
                     68,                0.55599,                0.35255,                0.85514,                 0.9988,                      1,                  0.995,                0.88877,                0.48853,                0.30975,                0.82851,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.5634,                0.35098,                0.87533,                0.99884,                      1,                  0.995,                0.89754,                0.49446,                0.32047,                0.82316,              0.0006734,              0.0006734,              0.0006734
                     70,                0.53041,                0.33413,                0.86738,                0.99883,                      1,                  0.995,                0.89841,                0.49176,                0.33202,                0.81621,              0.0006536,              0.0006536,              0.0006536
                     71,                0.53057,                0.32145,                 0.8676,                0.99884,                      1,                  0.995,                 0.8997,                 0.4851,                0.32205,                0.81616,              0.0006338,              0.0006338,              0.0006338
                     72,                0.55567,                0.33283,                0.86563,                0.99884,                      1,                  0.995,                 0.8923,                0.48222,                0.31383,                0.82094,               0.000614,               0.000614,               0.000614
                     73,                0.54942,                0.33776,                 0.8583,                0.99884,                      1,                  0.995,                0.89078,                0.50548,                 0.3038,                0.82709,              0.0005942,              0.0005942,              0.0005942
                     74,                0.53989,                0.32857,                0.85529,                0.99883,                      1,                  0.995,                0.89584,                0.49256,                0.30907,                0.82393,              0.0005744,              0.0005744,              0.0005744
                     75,                0.55956,                0.34806,                0.86436,                0.99882,                      1,                  0.995,                0.89209,                0.48545,                0.32325,                 0.8195,              0.0005546,              0.0005546,              0.0005546
                     76,                0.55744,                0.34841,                0.87931,                0.99881,                      1,                  0.995,                0.88823,                0.49955,                0.33661,                0.82208,              0.0005348,              0.0005348,              0.0005348
                     77,                0.55981,                0.33581,                0.84659,                0.99882,                      1,                  0.995,                 0.8914,                0.48802,                0.32465,                0.82049,               0.000515,               0.000515,               0.000515
                     78,                0.57905,                 0.3531,                0.86427,                0.99884,                      1,                  0.995,                 0.8877,                0.47764,                0.31085,                0.81997,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.5454,                0.33152,                0.85797,                0.99882,                      1,                  0.995,                0.89097,                0.47668,                0.29371,                0.81707,              0.0004754,              0.0004754,              0.0004754
                     80,                  0.564,                 0.3394,                0.86144,                0.99884,                      1,                  0.995,                0.90635,                0.48281,                0.28298,                0.81642,              0.0004556,              0.0004556,              0.0004556
                     81,                0.55139,                0.34325,                0.85416,                0.99883,                      1,                  0.995,                 0.9126,                 0.4863,                0.28748,                0.81532,              0.0004358,              0.0004358,              0.0004358
                     82,                0.54756,                0.33062,                0.84653,                0.99884,                      1,                  0.995,                0.90308,                0.49078,                0.28934,                0.81769,               0.000416,               0.000416,               0.000416
                     83,                0.52628,                0.31855,                0.85637,                0.99884,                      1,                  0.995,                0.90025,                 0.4951,                0.28597,                0.82185,              0.0003962,              0.0003962,              0.0003962
